Epoch:288 | Cross Entropy Error: 0.15358088206402243 | Accuacy: 96.66666666666667%
Epoch:289 | Cross Entropy Error: 0.15310452024334437 | Accuacy: 96.66666666666667%
Epoch:290 | Cross Entropy Error: 0.15263166454435348 | Accuacy: 96.66666666666667%
Epoch:291 | Cross Entropy Error: 0.15216215977617567 | Accuacy: 96.66666666666667%
Epoch:292 | Cross Entropy Error: 0.1516962981895411 | Accuacy: 96.66666666666667%
Epoch:293 | Cross Entropy Error: 0.15123360298918528 | Accuacy: 96.66666666666667%
Epoch:294 | Cross Entropy Error: 0.1507744559481242 | Accuacy: 96.66666666666667%
Epoch:295 | Cross Entropy Error: 0.15031859103365638 | Accuacy: 96.66666666666667%
Epoch:296 | Cross Entropy Error: 0.14986614572086676 | Accuacy: 96.66666666666667%
Epoch:297 | Cross Entropy Error: 0.14941693388745364 | Accuacy: 96.66666666666667%
Epoch:298 | Cross Entropy Error: 0.14896988140202386 | Accuacy: 96.66666666666667%
Epoch:299 | Cross Entropy Error: 0.14852827994534773 | Accuacy: 96.66666666666667%
Epoch:300 | Cross Entropy Error: 0.14808929628045295 | Accuacy: 96.66666666666667%
Epoch:301 | Cross Entropy Error: 0.14765307341253683 | Accuacy: 96.66666666666667%
Epoch:302 | Cross Entropy Error: 0.1472197440054009 | Accuacy: 96.66666666666667%
Epoch:303 | Cross Entropy Error: 0.14678841374468812 | Accuacy: 96.66666666666667%
Epoch:304 | Cross Entropy Error: 0.14636237204461464 | Accuacy: 96.66666666666667%
Epoch:305 | Cross Entropy Error: 0.1459389312431033 | Accuacy: 96.66666666666667%
Epoch:306 | Cross Entropy Error: 0.14551815370772458 | Accuacy: 96.66666666666667%
Epoch:307 | Cross Entropy Error: 0.14510015731769807 | Accuacy: 96.66666666666667%
Epoch:308 | Cross Entropy Error: 0.14468529305269634 | Accuacy: 96.66666666666667%
Epoch:309 | Cross Entropy Error: 0.14427212700357825 | Accuacy: 96.66666666666667%
Epoch:310 | Cross Entropy Error: 0.1438640354177519 | Accuacy: 96.66666666666667%
Epoch:311 | Cross Entropy Error: 0.1434584019331598 | Accuacy: 96.66666666666667%
Epoch:312 | Cross Entropy Error: 0.1430554296981777 | Accuacy: 96.66666666666667%
Epoch:313 | Cross Entropy Error: 0.14265382831828438 | Accuacy: 96.66666666666667%
Epoch:314 | Cross Entropy Error: 0.14225699492515673 | Accuacy: 96.66666666666667%
Epoch:315 | Cross Entropy Error: 0.141862596266446 | Accuacy: 96.66666666666667%
